id|nome|região|lat|long
8583410|RIO PEQUENO|Oeste|-46.758935258871105|-23.571233044614573
8583465|CIDADE TIRADENTES|Leste|-46.400847385994254|-23.58480182376437
8583484|JARDIM SAO LUIS|Sul|-46.73940071536727|-23.680730331942495
8583407|PONTE RASA|Leste|-46.49373209199891|-23.515671689122783
8583488|LIBERDADE|Centro|-46.63195698465321|-23.566954949326405
8583437|VILA PRUDENTE|Leste|-46.57274784231909|-23.592497364668887
8583453|CACHOEIRINHA|Norte|-46.6620947483056|-23.454361418019893
8583416|SAO LUCAS|Leste|-46.54358653057898|-23.594679838026043
8583454|CAMBUCI|Centro|-46.6169513980361|-23.564387331407964
8583433|VILA MARIA|Norte|-46.57778649966453|-23.513035935911148
8583442|ALTO DE PINHEIROS|Oeste|-46.71195530653772|-23.54761304719544
8583467|CURSINO|Sul|-46.620688471644876|-23.631199854773254
8583418|SAO MIGUEL|Leste|-46.440797430368335|-23.5010776831974
8583440|VILA SONIA|Oeste|-46.739230169826975|-23.59943607363295
8583421|SAUDE|Sul|-46.641078081625444|-23.61461600141989
8583400|PARQUE DO CARMO|Leste|-46.462977838456155|-23.575976118082508
8583478|JACANA|Norte|-46.57493805435315|-23.462142935966426
8583489|LIMAO|Norte|-46.676036126273274|-23.497512652685785
8583475|ITAIM PAULISTA|Leste|-46.38635018718063|-23.503385145487044
8583401|PEDREIRA|Sul|-46.64986862022906|-23.70693999656224
8583394|MANDAQUI|Norte|-46.64084963549612|-23.459468409268826
8583441|AGUA RASA|Leste|-46.57188032960747|-23.566838708125797
8583415|SAO DOMINGOS|Norte|-46.747243721753065|-23.49346824619917
8583481|JARAGUA|Norte|-46.73977617684859|-23.445745601111287
8583448|BELEM|Leste|-46.59482418315615|-23.537603308582653
8583459|CAPAO REDONDO|Sul|-46.78051447440235|-23.668770265714475
8583413|SANTANA|Norte|-46.63037477692134|-23.500011098130255
8583396|MOEMA|Sul|-46.661365797530465|-23.596113607284646
8583472|IGUATEMI|Leste|-46.42676604145553|-23.612570521101592
8583476|ITAQUERA|Leste|-46.455942456924404|-23.534020018129038
8583486|LAJEADO|Leste|-46.4086296848009|-23.53363022121561
8583456|CAMPO GRANDE|Sul|-46.6875161499209|-23.674597449911598
8583479|JAGUARA|Oeste|-46.74713301323151|-23.51103336893204
8583485|JOSE BONIFACIO|Leste|-46.432662336308766|-23.567392354031387
8583458|CANGAIBA|Leste|-46.518767248412786|-23.498903125334177
8583398|MORUMBI|Oeste|-46.70802302499437|-23.5963200322367
8583425|TREMEMBE|Norte|-46.589213993428224|-23.417470878218772
8583463|CIDADE DUTRA|Sul|-46.70239979025756|-23.725764743616683
8583452|BUTANTA|Oeste|-46.72626886677067|-23.57019596769082
8583439|PARELHEIROS|Sul|-46.716283206124196|-23.83011970938338
8583419|SAO RAFAEL|Leste|-46.45394002292556|-23.628206983926987
8583409|REPUBLICA|Centro|-46.64105105073104|-23.544763785863392
8583471|GUAIANASES|Leste|-46.406617119346414|-23.556372929810344
8583424|TATUAPE|Leste|-46.5674504393075|-23.53868101137301
8583429|VILA FORMOSA|Leste|-46.54599102544943|-23.567858195308464
8583402|PENHA|Leste|-46.529036319474386|-23.52320130128037
8583406|PIRITUBA|Norte|-46.72617652391406|-23.48094941084936
8583464|CIDADE LIDER|Leste|-46.49130332145809|-23.562018363964462
8583405|PINHEIROS|Oeste|-46.688672527665325|-23.566473573378797
8583403|PERDIZES|Oeste|-46.68093353979936|-23.538721260691844
8583466|CONSOLACAO|Centro|-46.66022877940311|-23.54869285593294
8583482|JARDIM HELENA|Leste|-46.41290689019566|-23.483700890841778
8583457|CAMPO LIMPO|Sul|-46.76350175506963|-23.635864413192166
8583455|CAMPO BELO|Sul|-46.66790842939245|-23.628080313631724
8583477|JABAQUARA|Sul|-46.64590831463537|-23.650550145150618
8583438|JARDIM ANGELA|Sul|-46.76809093466946|-23.716043432631206
8583450|BRAS|Leste|-46.617469229773356|-23.543746951635203
8583469|FREGUESIA DO O|Norte|-46.69739535501207|-23.48622527019029
8583451|BRASILANDIA|Norte|-46.688388481684925|-23.448622449382665
8583411|SACOMA|Sul|-46.598171845009496|-23.630814068240834
8583483|JARDIM PAULISTA|Oeste|-46.6667591026223|-23.566514358638997
8583430|VILA GUILHERME|Norte|-46.60576556456683|-23.50917800468763
8583408|RAPOSO TAVARES|Oeste|-46.785415280908225|-23.592400843920316
8583487|LAPA|Oeste|-46.70597648641494|-23.522635496515203
8583431|VILA JACUI|Leste|-46.461563921916884|-23.50262482568915
8583473|IPIRANGA|Sul|-46.60283391026352|-23.591807930754594
8583443|ANHANGUERA|Norte|-46.79312826780384|-23.430493324429367
8583420|SAPOPEMBA|Leste|-46.50954786200571|-23.605570383272347
8583462|CIDADE ADEMAR|Sul|-46.656874181402564|-23.673757223109114
8583417|SAO MATEUS|Leste|-46.48127512682185|-23.600059687320012
8583444|ARICANDUVA|Leste|-46.51561120002687|-23.573813486145376
8583428|VILA CURUCA|Leste|-46.41565478461789|-23.50999605670951
8583474|ITAIM BIBI|Oeste|-46.68535939878172|-23.602105444735436
8583480|JAGUARE|Oeste|-46.74882914105994|-23.543828557304646
8583461|CASA VERDE|Norte|-46.65743918242493|-23.500988145279834
8583470|GRAJAU|Sul|-46.66863887656272|-23.789458397734897
8583432|VILA LEOPOLDINA|Oeste|-46.73437029577603|-23.52926890666367
8583447|BELA VISTA|Centro|-46.64757989849081|-23.5608559749161
8583397|MOOCA|Leste|-46.59641225812762|-23.561345497623375
8583449|BOM RETIRO|Centro|-46.6368128036059|-23.5260689911992
8583468|ERMELINO MATARAZZO|Leste|-46.484530068037586|-23.491294890861095
8583414|SANTO AMARO|Sul|-46.701196025734134|-23.642373328476435
8583434|VILA MARIANA|Sul|-46.6357990022179|-23.58650343928303
8583460|CARRAO|Leste|-46.538293721191295|-23.55107955132977
8583446|BARRA FUNDA|Oeste|-46.674086651051155|-23.52119556788155
8583427|VILA ANDRADE|Sul|-46.72827920413037|-23.626230581869073
8583412|SANTA CECILIA|Centro|-46.65287657018445|-23.53179524922717
8583435|VILA MATILDE|Leste|-46.51787549070189|-23.539360756615803
8583404|PERUS|Norte|-46.74614256213217|-23.407923496128426
8583445|ARTUR ALVIM|Leste|-46.485817901009455|-23.540143854908116
8583423|SOCORRO|Sul|-46.71371679662883|-23.685280441543654
8583399|PARI|Leste|-46.617511465754006|-23.52718623747066
8583395|MARSILAC|Sul|-46.707981624584704|-23.93526303175756
8583422|SE|Centro|-46.63144781042572|-23.547713025201766
8583436|VILA MEDEIROS|Norte|-46.57761954149386|-23.488737336559474
8583426|TUCURUVI|Norte|-46.60604315319676|-23.475702115009494
